dateSeen,brand,name,categories,prices_before,prices_after,prices_disc,availability,views
04/10/19 09:00,The Highest Heel,Women's Shoes 5 1/2 Covered Platform With Maryjane Strap - White Patent PU,Heels,41.8,41.39,0.98%,FALSE,3
04/10/19 11:00,Easy-Street,Easy Street Natara Women WW Open-Toe Synthetic Blue Slingback Sandal,Sandals & Slippers,14.37,14.23,0.97%,FALSE,42
04/10/19 11:00,Minnetonka,women's minnetonka 3 layer fringe boot,Boots,98.93,97.95,0.99%,TRUE,1
04/11/19 02:00,Alegria,Alegria Paloma,NA,121.2,120,0.99%,FALSE,1
04/11/19 02:00,Easy-Street,Easy Street Natara Women WW Open-Toe Synthetic Blue Slingback Sandal,Sandals & Slippers,94.25,93.32,0.99%,TRUE,28
04/11/19 06:00,Toms,Toms Women's Desert Wedge Boot Black Suede Shrlng Ankle-High - 8M,Boots,75.35,74.6,1%,FALSE,3
04/11/19 06:00,Brinley Co.,Brinley Co. Women's Medium and Wide Width Cut Out Round Toe T-strap Two-tone Matte Mary Jane Pumps,Heels,56.23,37.99,32.44%,TRUE,1
04/11/19 06:00,Brinley Co.,Women's Lyla Stacked Heel Classic Pumps,Heels,22.17,21.95,0.99%,TRUE,1
04/11/19 06:00,Brinley Co.,Women's T-strap Chunky Heel Round Toe Classic Matte Pumps,Heels,53.18,34.99,34.2%,TRUE,1
04/11/19 06:00,Brinley Co.,Womens Pointed Toe Lace-up Ankle Strap Pumps,Heels,34.46,21.95,36.3%,TRUE,1
04/11/19 06:00,Brinley Co.,Brinley Co. Womens Cross Strap Faux Suede Pointed Toe Dress High Heels,Heels,52.43,37.99,27.54%,TRUE,1
04/11/19 06:00,Brinley Co.,Brinley Co. Women's Medium and Wide Width Mary Jane Patent Leather Pumps,Heels,33.8,22.99,31.98%,TRUE,57
04/11/19 06:00,Brinley Co.,Brinley Co. Women's Mary Jane Matte Finish Pumps,Heels,32.25,21.5,33.33%,TRUE,1
04/11/19 06:00,Brinley Co.,Women's Chunky Heel Matte Finish Pumps,Heels,50.14,32.99,34.2%,TRUE,1
04/11/19 06:00,Pleaser,Women's Pleaser Seduce 420V,Heels,32.27,31.95,0.99%,TRUE,1
04/11/19 06:00,Brinley Co.,Brinley Co. Women's Tweed Two-tone Mary Jane Pumps,Heels,50.91,37.99,25.38%,TRUE,2
04/11/19 06:00,Brinley Co.,Women's Platform Mary Jane Pumps,Heels,35.8,22.95,35.89%,TRUE,1
04/11/19 06:00,Brinley Co.,Women's Round Toe Patent Pumps,Heels,29.98,17.95,40.13%,FALSE,1
04/11/19 06:00,Funtasma,Women's Funtasma Dame 02,Heels,42.22,41.8,0.99%,TRUE,1
04/11/19 06:00,Brinley Co.,Brinley Co. Women's Round Toe Comfort Fit Classic Pumps,Heels,50.14,32.99,34.2%,TRUE,1
04/11/19 07:00,Ellie Shoes,"610-SHANA, 6'' Clear And Neon Wedge With Ankle Strap",Heels,76.68,75.92,0.99%,TRUE,2
04/11/19 08:00,Alfani,Alfani Women's JEMAH Closed Toe Ballet Flats,Flats,29.28,28.99,0.99%,FALSE,2
04/11/19 08:00,Trotters,Women's Trotters Lansing,Flats,48.14,47.66,1%,FALSE,1
04/11/19 08:00,Toms,Toms Women's Classic Striped Canvas Dark Grey Stripe University Ankle-High Flat Shoe - 10M,Flats,46.36,45.9,0.99%,TRUE,15
04/11/19 08:00,Pleaser,"GORGEOUS-28, 5 1/4'' Stiletto Heel Shoes",Heels,41.28,40.87,0.99%,FALSE,1
04/11/19 08:00,Dyeables,Women's Dyeables Lola,Heels,54.51,46.99,13.8%,TRUE,1
04/11/19 08:00,Franco Sarto,Darlis Leather Point-Toe Pumps,Heels,44.44,44,0.99%,FALSE,1
04/11/19 08:00,Alegria,Alegria Paloma,NA,121.2,120,0.99%,FALSE,1
04/11/19 07:00,Pleaser,Women's Pleaser Stardust 808T Ankle-Strap Sandal,Sandals & Slippers,88.83,87.95,0.99%,TRUE,2
04/12/19 11:00,Ellie Shoes,"202-DANIELLE, 2'' Heel Jewel Slippers",Heels,42.45,42.03,0.99%,TRUE,1
04/13/19 07:00,Bearpaw,Bearpaw Women's Loki II Slipper,Sandals & Slippers,42.66,34.97,18.03%,TRUE,1
04/15/19 06:00,Ugg,Ugg Women's Adirondack Boot Ii Otter High-Top Leather - 6M,Boots,118.16,116.99,0.99%,FALSE,1
04/15/19 06:00,Pleaser,Women's Pleaser Delight 685,Heels,60.55,59.95,0.99%,TRUE,1
04/15/19 06:00,Ellie,Ellie Shoes E-652-Oxford 6 Stiletto Heel Oxford Sandal Black / 5,Sandals & Slippers,111.1,110,0.99%,TRUE,1
04/15/19 11:00,Brinley Co.,Womens Low-Wedge Buckle Slouch Boot,Boots,39.38,38.99,0.99%,TRUE,7
04/15/19 11:00,Brinley Co.,Women's Extra Wide Calf Buckle Slouch Low-wedge Boots,Boots,60.38,39.99,33.77%,TRUE,8
04/16/19 07:00,Asics,Asics Women's Gel-Evate 3 Lightning/Hot Pink/Blue Ankle-High Running Shoe - 6M,Running Shoe,98.15,65.87,32.89%,TRUE,1
04/16/19 07:00,Asics,Asics Gel-Flux 3 Running Women's Shoes Size,Running Shoe,77.56,76.79,0.99%,TRUE,1
04/16/19 07:00,New Balance,New Balance Women's Wc1296Bp Blue/Red/Green Ankle-High Leather Tennis Shoe - 6.5W,Sneakers,84.2,56.13,33.34%,FALSE,3
04/18/19 02:00,Drew,Women's Drew Fusion,Sneakers,141.81,136.36,3.84%,TRUE,5
04/18/19 02:00,Asics,Asics Women's Gel-Frequency 3 Black / Silver Pink Ankle-High Walking Shoe - 9W,Sneakers,78.37,76.83,1.97%,FALSE,2
04/18/19 02:00,Drew,Women's Drew Bloom II,Sneakers,207.33,205.28,0.99%,TRUE,1
